LC genes,Arabidopsis orthologue,Gene_name
Solyc12g013780,AT5G07200,GIBBERELLIN 20-OXIDASE 3
Solyc11g067200,AT3G44530,HIRA
Solyc04g007240,AT1G68460,ISOPENTENYLTRANSFERASE 1
Solyc05g009410,AT1G68460,ISOPENTENYLTRANSFERASE 1
Solyc11g066960,AT2G27760,ISOPENTENYLTRANSFERASE 2
Solyc08g061730,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc08g061790,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc09g064910,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g019850,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g019870,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g019880,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g020360,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g020400,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g020430,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g020500,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g027990,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g030560,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g061800,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g063470,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc11g063670,AT3G63110,ISOPENTENYLTRANSFERASE 3
Solyc01g080150,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc08g061710,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc08g061720,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc08g061760,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc08g061770,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g019900,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g020380,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g020390,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g020520,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g028210,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g061780,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g061790,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g061820,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g061850,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g061860,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g061870,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g061880,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g061890,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g063460,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g063680,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g063690,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g063700,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g063710,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g063730,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc11g063740,AT5G19040,ISOPENTENYLTRANSFERASE 5
Solyc08g061680,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc08g061690,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc08g061740,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc08g061780,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g019860,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g019890,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g027980,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g061810,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g061830,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g061840,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g061900,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g061910,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g061920,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g063450,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc11g063650,AT3G23630,ISOPENTENYLTRANSFERASE 7
Solyc12g014190,AT5G20040,ISOPENTENYLTRANSFERASE 9
Solyc01g081500,AT5G17690,LIKE HETEROCHROMATIN PROTEIN 1
Solyc10g024470,AT5G17690,LIKE HETEROCHROMATIN PROTEIN 1
Solyc08g006830,AT3G62000,O-Methyltransferase
Solyc01g079390,AT4G02020,SWINGER
Solyc07g062840,AT5G53950,CUP-SHAPED COTYLEDON 2 / GOBLET
Solyc10g008780,AT2G31070,TCP10
Solyc00g217560,AT3G02150,TCP13
Solyc02g065800,AT3G02150,TCP13
Solyc02g089020,AT3G02150,TCP13
Solyc03g115010,AT3G02150,TCP13
Solyc08g048390,AT4G18390,TCP2
Solyc08g048370,AT4G18390,TCP2
Solyc11g045640,AT1G53230,TCP3
Solyc07g062680,AT3G15030,TCP4 / LANCEOLATE
Solyc12g014140,AT3G15030,TCP4
Solyc05g012840,AT3G15030,TCP5
Solyc07g053410,AT3G15030,TCP6
Solyc02g077250,AT3G15030,TCP7
Solyc05g032780,AT3G15030,TCP8
Solyc10g018710,AT3G15030,TCP9
Solyc06g069460,AT5G60970,TCP5
Solyc06g007200,AT3G51800,A. THALIANA ERBB-3 BINDING PROTEIN 1
Solyc06g082090,AT3G51800,A. THALIANA ERBB-3 BINDING PROTEIN 1
Solyc02g092050,AT4G37750,AINTEGUMENTA
Solyc04g077490,AT4G37750,AINTEGUMENTA
Solyc05g051380,AT5G10510,AINTEGUMENTA-LIKE 6
Solyc11g010710,AT5G10510,AINTEGUMENTA-LIKE 6
Solyc11g006230,AT5G28640,ANGUSTIFOLIA 3
Solyc04g009820,AT5G28640,ANGUSTIFOLIA 3
Solyc12g006790,AT5G43810,ARGONAUTE 10 / PINHEAD / ZWILLE
Solyc09g082830,AT5G43810,ARGONAUTE 10 / PINHEAD / ZWILLE
Solyc03g118290,AT5G62000,AUXIN RESPONSE FACTOR 2
Solyc12g042070,AT5G62000,AUXIN RESPONSE FACTOR 2
Solyc11g062260,AT3G63530,BIG BROTHER
Solyc01g087060,AT3G63530,BIG BROTHER
Solyc03g026150,AT3G63530,BIG BROTHER
Solyc04g078470,AT4G34160,CYCLIN D3;1
Solyc01g107730,AT5G67260,CYCLIN D3;2
Solyc02g064900,AT5G67260,CYCLIN D3;2
Solyc02g092980,AT5G67260,CYCLIN D3;2
Solyc12g088650,AT5G67260,CYCLIN D3;2
Solyc02g064860,AT3G50070,CYCLIN D3;3
Solyc02g064910,AT3G50070,CYCLIN D3;3
Solyc04g079840,AT1G19270,DA 1
Solyc01g105180,AT1G19270,DA 1
Solyc01g105210,AT1G19270,DA 1
Solyc11g011260,AT1G14920,GIBBERELLIC ACID INSENSITIVE / PROCERA
Solyc03g110950,AT1G14920,GIBBERELLIC ACID INSENSITIVE / PROCERA
Solyc10g086380,AT1G14920,GIBBERELLIC ACID INSENSITIVE / PROCERA
Solyc03g082480,AT4G00850,GRF1-INTERACTING FACTOR 3
Solyc10g009280,AT4G00850,GRF1-INTERACTING FACTOR 3
Solyc04g077510,AT2G22840,GROWTH-REGULATING FACTOR 1
Solyc08g079800,AT4G37740,GROWTH-REGULATING FACTOR 2
Solyc02g092070,AT4G37740,GROWTH-REGULATING FACTOR 2
Solyc01g091540,AT2G36400,GROWTH-REGULATING FACTOR 3
Solyc09g009200,AT3G52910,GROWTH-REGULATING FACTOR 4
Solyc10g083510,AT3G52910,GROWTH-REGULATING FACTOR 4
Solyc12g096070,AT3G13960,GROWTH-REGULATING FACTOR 5
Solyc08g075950,AT3G13960,GROWTH-REGULATING FACTOR 5
Solyc07g041640,AT3G13960,GROWTH-REGULATING FACTOR 5
Solyc08g005430,AT3G13960,GROWTH-REGULATING FACTOR 5
Solyc03g082430,AT5G53660,GROWTH-REGULATING FACTOR 7
Solyc08g068760,AT5G53660,GROWTH-REGULATING FACTOR 7
Solyc08g083230,AT4G24150,GROWTH-REGULATING FACTOR 8
Solyc03g114940,AT1G13710,KLUH / CYP78A5
Solyc10g086370,AT2G01570,REPRESSOR OF GA1-3 1
Solyc02g094340,AT1G66350,RGA-LIKE 1
Solyc06g009610,AT1G66350,RGA-LIKE 1
Solyc12g099220,AT1G66350,RGA-LIKE 1
Solyc01g059960,AT3G03450,RGA-LIKE 2
Solyc01g079370,AT3G03450,RGA-LIKE 2
Solyc01g079380,AT3G03450,RGA-LIKE 2
Solyc05g053420,AT3G03450,RGA-LIKE 2
Solyc01g059950,AT5G17490,RGA-LIKE 3
Solyc04g078690,AT4G36930,SPATULA
Solyc02g093280,AT4G36930,SPATULA
Solyc01g097320,AT3G04740,STRUWWELPETER
Solyc02g077560,AT2G33860,AUXIN RESPONSE FACTOR 3 / ETTIN
Solyc11g069190,AT5G60450,AUXIN RESPONSE FACTOR 4
Solyc01g057960,AT1G52150,CORONA
Solyc08g066500,AT1G52150,CORONA
Solyc03g120910,AT1G52150,CORONA
Solyc12g044410,AT1G52150,CORONA
Solyc01g091010,AT2G45190,FILAMENTOUS FLOWER
Solyc05g005240,AT1G23420,INNER NO OUTER
Solyc05g051060,AT5G16560,KANADI 1
Solyc11g011770,AT5G16560,KANADI 1
Solyc06g066340,AT1G32240,KANADI 2
Solyc08g005260,AT1G32240,KANADI 2
Solyc08g076400,AT1G32240,KANADI 2
Solyc04g079600,AT5G42630,KANADI 4
Solyc02g024070,AT2G34710,PHABULOSA
Solyc02g069830,AT2G34710,PHABULOSA
Solyc11g069470,AT5G60690,REVOLUTA
Solyc12g020120,AT5G60690,REVOLUTA
Solyc06g073920,AT1G08465,YABBY 2
Solyc11g071810,AT1G08465,YABBY 2
Solyc08g079100,AT4G00180,YABBY 3
Solyc07g008180,AT2G26580,YABBY 5
Solyc12g009580,AT2G26580,YABBY 5
Solyc02g064960,AT4G36920,APETALA 2
Solyc02g093150,AT4G36920,APETALA 2
Solyc03g044300,AT4G36920,APETALA 2
Solyc10g084340,AT4G36920,APETALA 2
Solyc06g008210,AT1G04020,BREAST CANCER ASSOCIATED RING 1
Solyc12g041980,AT1G04020,BREAST CANCER ASSOCIATED RING 1
Solyc09g066080,AT1G04020,BREAST CANCER ASSOCIATED RING 1
Solyc09g066090,AT1G04020,BREAST CANCER ASSOCIATED RING 1
Solyc12g042000,AT1G04020,BREAST CANCER ASSOCIATED RING 1
Solyc05g016230,AT1G04020,BREAST CANCER ASSOCIATED RING 1
Solyc11g005690,AT3G18730,BRUSHY 1
Solyc04g081590,AT1G75820,CLAVATA 1
Solyc04g050170,AT1G08590,CLAVATA 1-like
Solyc02g072390,AT1G08590,CLAVATA 1-like
Solyc04g056640,AT1G65380,CLAVATA 2
Solyc05g023760,AT5G13290,CORYNE
Solyc11g008670,AT1G65470,FASCIATA 1
Solyc11g005800,AT5G64630,FASCIATA 2
Solyc02g062760,AT3G50870,HANABA TANARU
Solyc02g085190,AT3G50870,HANABA TANARU
Solyc01g099380,AT5G16780,MERISTEM-DEFECTIVE
Solyc11g008470,AT5G16780,MERISTEM-DEFECTIVE
Solyc11g008460,AT5G16780,MERISTEM-DEFECTIVE
Solyc07g047780,AT5G48160,OBERON 2
Solyc05g054180,AT5G48160,OBERON 2
Solyc08g007000,AT2G35350,POLTERGEIST LIKE 1
Solyc08g077150,AT2G35350,POLTERGEIST LIKE 1
Solyc06g076100,AT5G02400,POLTERGEIST LIKE 2
Solyc03g065190,AT5G02400,POLTERGEIST LIKE 2
Solyc09g010780,AT2G28890,POLTERGEIST LIKE 4
Solyc11g062010,AT2G28290,SPLAYED / CHROMATIN REMODELING COMPLEX SUBUNIT R 3
Solyc07g054450,AT4G28190,ULTRAPETALA 1
Solyc12g010370,AT4G28190,ULTRAPETALA 1
Solyc12g010760,AT4G28190,ULTRAPETALA 1
Solyc02g083950,AT2G17950,WUSCHEL
Solyc02g071730,AT4G18960,AGAMOUS
Solyc01g095040,AT1G01510,ANGUSTIFOLIA
Solyc06g072300,AT1G48410,ARGONAUTE 1
Solyc03g098280,AT1G48410,ARGONAUTE 1
Solyc03g078590,AT1G48410,ARGONAUTE 1
Solyc05g041370,AT1G48410,ARGONAUTE 1
Solyc09g064880,AT1G48410,ARGONAUTE 1
Solyc10g054920,AT1G48410,ARGONAUTE 1
Solyc11g069100,AT1G48410,ARGONAUTE 1
Solyc02g069260,AT1G31280,ARGONAUTE 2
Solyc02g069270,AT1G31280,ARGONAUTE 2
Solyc02g069280,AT1G31280,ARGONAUTE 2
Solyc06g073540,AT2G27040,ARGONAUTE 4
Solyc01g008960,AT2G27040,ARGONAUTE 4
Solyc06g073530,AT2G27040,ARGONAUTE 4
Solyc01g096750,AT2G27040,ARGONAUTE 4
Solyc03g111760,AT2G27040,ARGONAUTE 4
Solyc06g074730,AT2G27880,ARGONAUTE 5
Solyc07g049500,AT2G32940,ARGONAUTE 6
Solyc01g010970,AT1G69440,ARGONAUTE 7 / ZIPPY
Solyc05g047460,AT1G19220,AUXIN RESPONSE FACTOR 19
Solyc07g016180,AT1G19220,AUXIN RESPONSE FACTOR 19
Solyc07g042260,AT1G19220,AUXIN RESPONSE FACTOR 19
Solyc03g043770,AT5G65700,BARELY ANY MERISTEM 1
Solyc02g091840,AT5G65700,BARELY ANY MERISTEM 1
Solyc01g103530,AT4G20270,BARELY ANY MERISTEM 3
Solyc01g080770,AT4G20270,BARELY ANY MERISTEM 3
Solyc04g040220,AT2G41370,BLADE-ON-PETIOLE 2
Solyc10g079460,AT2G41370,BLADE-ON-PETIOLE 2
Solyc10g079750,AT2G41370,BLADE-ON-PETIOLE 2
Solyc01g094800,AT2G46020,BRAHMA
Solyc04g051510,AT4G39400,BRASSINOSTEROID INSENSITIVE 1
Solyc08g008250,AT1G13870,DEFORMED ROOTS AND LEAVES 1
Solyc09g090370,AT3G52280,GENERAL TRANSCRIPTION FACTOR GROUP E6
Solyc07g064990,AT5G55250,IAA CARBOXYLMETHYLTRANSFERASE 1
Solyc12g014500,AT5G55250,IAA CARBOXYLMETHYLTRANSFERASE 1
Solyc06g053840,AT5G43700,IAA4
Solyc09g065850,AT5G43700,IAA4
Solyc09g083280,AT5G43700,IAA4
Solyc04g054280,AT5G43700,IAA4
Solyc06g008580,AT5G43700,IAA4
Solyc06g084070,AT5G43700,IAA4
Solyc04g076850,AT5G65670,IAA9 / ENTIRE
Solyc05g009380,AT1G68480,JAGGED / LYRATE
Solyc00g014800,AT5G14010,KNUCKLES
Solyc02g086480,AT5G63090,LATERAL ORGAN BOUNDARIES
Solyc03g112430,AT5G63090,LATERAL ORGAN BOUNDARIES
Solyc06g071660,AT5G63090,LATERAL ORGAN BOUNDARIES
Solyc04g072300,AT5G13910,LEAFY PETIOLE
Solyc11g045680,AT5G13910,LEAFY PETIOLE
Solyc11g045690,AT5G13910,LEAFY PETIOLE
Solyc06g065640,AT4G32551,LEUNIG
Solyc05g026480,AT4G32551,LEUNIG
Solyc08g006910,AT4G32551,LEUNIG
Solyc12g013940,AT4G32551,LEUNIG
Solyc05g055020,AT5G28490,LIGHT-DEPENDENT SHORT HYPOCOTYLS 1
Solyc06g083860,AT2G31160,LIGHT-DEPENDENT SHORT HYPOCOTYLS 3
Solyc09g025280,AT2G31160,LIGHT-DEPENDENT SHORT HYPOCOTYLS 3
Solyc04g009980,AT1G07090,LIGHT-DEPENDENT SHORT HYPOCOTYLS 6
Solyc09g090180,AT1G07090,LIGHT-DEPENDENT SHORT HYPOCOTYLS 6
Solyc02g069510,AT1G07090,LIGHT-DEPENDENT SHORT HYPOCOTYLS 6
Solyc06g082210,AT1G07090,LIGHT-DEPENDENT SHORT HYPOCOTYLS 6
Solyc10g008000,AT2G42610,LIGHT-DEPENDENT SHORT HYPOCOTYLS 10
Solyc02g076820,AT2G42610,LIGHT-DEPENDENT SHORT HYPOCOTYLS 10
Solyc07g062470,AT2G42610,LIGHT-DEPENDENT SHORT HYPOCOTYLS 10
Solyc10g007310,AT2G42610,LIGHT-DEPENDENT SHORT HYPOCOTYLS 10
Solyc12g014260,AT2G42610,LIGHT-DEPENDENT SHORT HYPOCOTYLS 10
Solyc06g075090,AT2G28305,LONELY GUY 1
Solyc04g081290,AT2G28305,LONELY GUY 1
Solyc10g084150,AT2G37210,LONELY GUY 3
Solyc09g007830,AT2G37210,LONELY GUY 3
Solyc11g069570,AT2G37210,LONELY GUY 3
Solyc01g007270,AT5G06300,LONELY GUY 7
Solyc10g082020,AT5G06300,LONELY GUY 7
Solyc08g062820,AT5G11950,LONELY GUY 8
Solyc01g005680,AT5G11950,LONELY GUY 8
Solyc04g081240,AT1G19850,MONOPTEROS
Solyc08g083400,AT2G46870,NGATHA 1
Solyc08g013690,AT1G01030,NGATHA 3
Solyc08g013700,AT1G01030,NGATHA 3
Solyc09g065630,AT4G14720,PEAPOD 2
Solyc06g084120,AT4G14720,PEAPOD 2
Solyc03g118740,AT1G73590,PIN-FORMED 1
Solyc10g078370,AT1G73590,PIN-FORMED 1
Solyc10g080880,AT1G73590,PIN-FORMED 1
Solyc07g006900,AT5G57090,PIN-FORMED 2
Solyc04g007690,AT1G70940,PIN-FORMED 3
Solyc05g008060,AT1G70940,PIN-FORMED 3
Solyc01g068410,AT5G16530,PIN-FORMED 5
Solyc04g056620,AT5G16530,PIN-FORMED 5
Solyc06g059730,AT1G77110,PIN-FORMED 6
Solyc02g087660,AT5G15100,PIN-FORMED 8
Solyc03g059490,AT3G02130,RECEPTOR-LIKE PROTEIN KINASE 2
Solyc04g005390,AT3G02130,RECEPTOR-LIKE PROTEIN KINASE 2
Solyc02g084740,AT4G36380,ROTUNDIFOLIA 3
Solyc01g009090,AT2G27100,SERRATE
Solyc09g072570,AT1G65660,SWELLMAP 1
Solyc06g083890,AT1G65660,SWELLMAP 1
Solyc01g106840,AT1G50030,TARGET OF RAPAMYCIN
Solyc01g106770,AT1G50030,TARGET OF RAPAMYCIN
Solyc01g109080,AT1G50030,TARGET OF RAPAMYCIN
Solyc01g106860,AT1G50030,TARGET OF RAPAMYCIN
Solyc03g051700,AT1G50030,TARGET OF RAPAMYCIN
Solyc09g037010,AT1G50030,TARGET OF RAPAMYCIN
Solyc03g117370,AT1G15750,TOPLESS
Solyc08g076030,AT1G15750,TOPLESS
Solyc03g117360,AT1G15750,TOPLESS
Solyc03g117410,AT1G15750,TOPLESS
Solyc03g112750,AT5G55540,TORNADO 1
Solyc08g076850,AT5G46700,TORNADO 2
Solyc09g098260,AT1G05830,TRITHORAX-LIKE PROTEIN 2
Solyc09g098250,AT1G05830,TRITHORAX-LIKE PROTEIN 2
Solyc07g018270,AT4G30200,VERNALIZATION5/VIN3-LIKE 1
Solyc03g118770,AT3G18010,WUSCHEL RELATED HOMEOBOX 1
Solyc11g072790,AT2G28610,WUSCHEL RELATED HOMEOBOX 3 / PRESSED FLOWER
Solyc11g072770,AT2G28610,WUSCHEL RELATED HOMEOBOX 3 / PRESSED FLOWER
Solyc09g091090,AT1G04610,YUCCA 3
Solyc06g065630,AT5G11320,YUCCA 4
Solyc08g068160,AT5G25620,YUCCA 6
Solyc06g008050,AT4G28720,YUCCA 8
Solyc06g083700,AT4G28720,YUCCA 8
Solyc09g064160,AT4G28720,YUCCA 8
Solyc09g074430,AT1G48910,YUCCA 10
Solyc02g005410,AT1G48910,YUCCA 10
Solyc08g065700,AT1G48910,YUCCA 10
Solyc09g091720,AT1G48910,YUCCA 10
Solyc09g091870,AT1G48910,YUCCA 10
